"Transportation activity indicators, Transport Canada"
"Frequency: Monthly"
"Table: 23-10-0269-01"
"Release date: 2022-11-02"
"Geography: Canada"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Activity indicators","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022"
"Domestic and international passengers, air 7  (x 1,000)","5,596","5,365","6,120","5,973","6,076","6,578","7,494","7,828","6,465","6,366","5,702","6,235","5,896","5,688","6,501","6,095","6,409","6,985","7,846","8,171","6,828","6,671","5,930","6,536","6,187","5,931","6,695","6,358","6,556","7,016","7,889","8,075","6,838","6,665","5,882","6,643","6,131","5,862","3,294","219","272","510","977","1,230","1,079","1,039","904","1,077","853","588","685","671","681","1,056","2,274","3,376","3,024","3,189","3,045","3,582","2,298","2,479","3,700","4,152","4,920","5,677","6,109","6,139"
"Domestic and international passengers, rail (VIA Rail) 8  (x 1,000)","324","312","334","314","350","365","406","424","371","406","368","418","361","354","375","353","383","395","420","460","396","432","404","412","371","378","395","365","409","429","459","490","415","446","409","441","379","159","121","7","17","36","65","89","91","73","62","63","40","38","48","45","50","78","135","202","197","245","213","..","..","..","..","..","..","..","..",".."

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"The number of travellers entering Canada from the United States including U.S. citizens entering Canada and Canadian citizens that have travelled out of the country and are returning home."
2,"The number of travellers entering Canada, not including travellers from the United States. The number includes non-Canadian citizens entering Canada and Canadian citizens that have travelled out of the country and are returning home. Overseas travellers usually arrive by airplane."
3,"The Number of commercial vehicles entering Canada from the United States at border locations."
4,"The number of shipping containers measured in twenty-foot equivalent units (TEUs) handled at the ports in Halifax, Montréal, Prince Rupert and Vancouver. TEU is a common way to measure the amount of space in a shipping container as the containers can have different sizes."
5,"The value of the dollar has not been adjusted for seasonal changes in movements. For exports, the mode of transport listed is the mode of transport used to send the merchandise over the Canadian border. This could be different from the mode of transport that is used when the merchandise is shipped within Canada. Total exports includes locally produced goods and foreign produced goods. The foreign produced goods are divided into two groups and both are included. The first is goods that are not modified after being imported, and the second is goods that are modified after being imported."
6,"The value of the dollar has not been adjusted for seasonal changes in movements. For imports, the mode of transport listed is the last mode of transport used to move the cargo to the port of clearance in Canada and this is identified from the cargo control documents of customs. This may not be the mode of transport that the cargo arrived at the Canadian port of entry in cases where the import is cleared after it has crossed the border at an inland location."
7,"The number of enplaned revenue-passengers in Canada. This includes scheduled and charter air services for domestic (within Canada), transborder (between Canada and the United States) and international travel."
8,"The total number of passengers carried by VIA Rail, including business and economy class."



"How to cite: Statistics Canada. Table 23-10-0269-01  Transportation activity indicators, Transport Canada"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2310026901
